company_id,entity_id,period_id,statement_type,statement_section,standard_account_id,standard_account_name,amount_reporting,reporting_currency,scenario,reported_or_adjusted,adjustment_id,transaction_id,include_in_normalized,include_in_proforma,value_class
COMP001,ENT_PARENT,FY2024,IS,revenue,revenue,Revenue,900.0,USD,ACTUAL,REPORTED,,,YES,YES,CLIENT_FS
COMP001,ENT_PARENT,FY2024,IS,cogs,cogs,Cost of Goods Sold,-550.0,USD,ACTUAL,REPORTED,,,YES,YES,CLIENT_FS
COMP001,ENT_PARENT,FY2024,IS,operating_expenses,opex,Operating Expenses,-140.0,USD,ACTUAL,REPORTED,,,YES,YES,CLIENT_FS
COMP001,ENT_PARENT,FY2024,IS,depreciation_amortization,depreciation_amortization,Depreciation & Amortization,-45.0,USD,ACTUAL,REPORTED,,,YES,YES,CLIENT_FS
COMP001,ENT_PARENT,FY2024,IS,interest,interest_expense,Interest Expense,-22.0,USD,ACTUAL,REPORTED,,,YES,YES,CLIENT_FS
COMP001,ENT_PARENT,FY2024,IS,tax,income_tax_expense,Income Tax Expense,-36.0,USD,ACTUAL,REPORTED,,,YES,YES,CLIENT_FS
COMP001,ENT_PARENT,FY2024,BS,current_assets,cash,Cash and Cash Equivalents,120.0,USD,ACTUAL,REPORTED,,,YES,YES,CLIENT_FS
COMP001,ENT_PARENT,FY2024,BS,current_assets,accounts_receivable,Accounts Receivable,100.0,USD,ACTUAL,REPORTED,,,YES,YES,CLIENT_FS
COMP001,ENT_PARENT,FY2024,BS,current_assets,inventory,Inventory,70.0,USD,ACTUAL,REPORTED,,,YES,YES,CLIENT_FS
COMP001,ENT_PARENT,FY2024,BS,noncurrent_assets,ppe_net,"Property, Plant & Equipment, Net",480.0,USD,ACTUAL,REPORTED,,,YES,YES,CLIENT_FS
COMP001,ENT_PARENT,FY2024,BS,current_liabilities,accounts_payable,Accounts Payable,80.0,USD,ACTUAL,REPORTED,,,YES,YES,CLIENT_FS
