company_id,period_id,entity_id,control_id,control_name,control_category,expected_value,actual_value,variance_amount,variance_pct,tolerance_amount,tolerance_pct,status,severity,agent_comment,reviewer_comment,review_status,source_reference,value_class
COMP001,FY2025,ENT_ELIM,C1,Balance sheet balances,BALANCE_SHEET,0.0,0.0,0.0,,0.01,,PASS,LOW,"Assets - Liabilities - Equity, canonical signs, source-reported amounts",,PENDING,client_fs_normalized.csv statement_type=BS,CALCULATED
COMP001,FY2024,ENT_GMBH,C1,Balance sheet balances,BALANCE_SHEET,0.0,-0.0,-0.0,,0.01,,PASS,LOW,"Assets - Liabilities - Equity, canonical signs, source-reported amounts",,PENDING,client_fs_normalized.csv statement_type=BS,CALCULATED
COMP001,FY2025,ENT_GMBH,C1,Balance sheet balances,BALANCE_SHEET,0.0,0.0,0.0,,0.01,,PASS,LOW,"Assets - Liabilities - Equity, canonical signs, source-reported amounts",,PENDING,client_fs_normalized.csv statement_type=BS,CALCULATED
COMP001,FY2024,ENT_PARENT,C1,Balance sheet balances,BALANCE_SHEET,0.0,0.0,0.0,,0.01,,PASS,LOW,"Assets - Liabilities - Equity, canonical signs, source-reported amounts",,PENDING,client_fs_normalized.csv statement_type=BS,CALCULATED
COMP001,FY2025,ENT_PARENT,C1,Balance sheet balances,BALANCE_SHEET,0.0,0.0,0.0,,0.01,,PASS,LOW,"Assets - Liabilities - Equity, canonical signs, source-reported amounts",,PENDING,client_fs_normalized.csv statement_type=BS,CALCULATED
COMP001,FY2025,ENT_GMBH,C2,Cash walks from beginning to ending balance,CASH_FLOW,40.0,30.0,-10.0,-25.0,0.01,,REVIEW,MEDIUM,No cash flow statement rows for this entity/period; cash moved 30 -> 40 unexplained,,PENDING,client_fs_raw.csv statement_type=CFS (absent),CALCULATED
COMP001,FY2025,ENT_PARENT,C2,Cash walks from beginning to ending balance,CASH_FLOW,150.0,150.0,0.0,0.0,0.01,,PASS,LOW,beginning 120 + CFS 30 vs ending 150 (local currency; FX effect line not yet in fixture),,PENDING,"client_fs_raw.csv statement_type=CFS,BS",CALCULATED
COMP001,FY2025,ENT_PARENT,C3,IS net income matches CFS net income,NET_INCOME,135.0,135.0,0.0,0.0,0.01,,PASS,LOW,Income statement rows summed (canonical signs) vs cfs_net_income,,PENDING,"client_fs_raw.csv statement_type=IS,CFS",CALCULATED
COMP001,FY2025,ENT_GMBH,C4,Retained earnings roll forward,EQUITY_ROLL,65.0,65.0,0.0,0.0,0.01,,PASS,LOW,begin 35 + NI 30 + dividends 0 vs ending 65 (local currency),,PENDING,"client_fs_raw.csv statement_type=BS,IS,CFS",CALCULATED
COMP001,FY2025,ENT_PARENT,C4,Retained earnings roll forward,EQUITY_ROLL,260.0,260.0,0.0,0.0,0.01,,PASS,LOW,begin 170 + NI 135 + dividends -45 vs ending 260 (local currency),,PENDING,"client_fs_raw.csv statement_type=BS,IS,CFS",CALCULATED
COMP001,FY2025,ENT_PARENT,C5,AOCI roll forward,OCI,0.0,5.0,5.0,,0.01,,REVIEW,MEDIUM,OCI of 5 reported but no 'aoci' balance-sheet account is mapped - AOCI roll cannot be verified,,PENDING,client_fs_raw.csv statement_type=OCI; account_mapping.csv,CALCULATED
COMP001,FY2025,ENT_GMBH,C6,Debt rolls forward through issuances/repayments,DEBT,60.0,65.0,5.0,8.333333,0.01,,REVIEW,MEDIUM,Debt moved 65 -> 60 with no debt activity rows to explain it (no CFS for this entity/period),,PENDING,"client_fs_raw.csv statement_type=BS,CFS",CALCULATED
COMP001,FY2025,ENT_PARENT,C6,Debt rolls forward through issuances/repayments,DEBT,300.0,300.0,0.0,0.0,0.01,,PASS,LOW,begin 320 + net debt activity -20 vs ending 300 (local currency),,PENDING,"client_fs_raw.csv statement_type=BS,CFS",CALCULATED
