company_id,entity_id,period_id,statement_type,standard_account_id,standard_account_name,statement_section,amount_reporting,reporting_currency,scenario,reported_or_adjusted,adjustment_id,transaction_id,include_in_normalized,include_in_proforma,source_system,source_account_code,amount_source,sign_multiplier,source_sign_convention,load_id
COMP001,ENT_PARENT,FY2024,IS,revenue,Revenue,revenue,900.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,4000,900.0,1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2024,IS,cogs,Cost of Goods Sold,cogs,-550.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,5000,550.0,-1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2024,IS,opex,Operating Expenses,operating_expenses,-140.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,6000,140.0,-1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2024,IS,depreciation_amortization,Depreciation & Amortization,depreciation_amortization,-45.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,6500,45.0,-1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2024,IS,interest_expense,Interest Expense,interest,-22.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,7000,22.0,-1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2024,IS,income_tax_expense,Income Tax Expense,tax,-36.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,8000,36.0,-1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2024,BS,cash,Cash and Cash Equivalents,current_assets,120.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,1000,120.0,1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2024,BS,accounts_receivable,Accounts Receivable,current_assets,100.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,1100,100.0,1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2024,BS,inventory,Inventory,current_assets,70.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,1200,70.0,1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2024,BS,ppe_net,"Property, Plant & Equipment, Net",noncurrent_assets,480.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,1500,480.0,1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2024,BS,accounts_payable,Accounts Payable,current_liabilities,80.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,2000,80.0,1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2024,BS,long_term_debt,Long-Term Debt,noncurrent_liabilities,320.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,2500,320.0,1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2024,BS,common_stock,Common Stock,equity,200.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,3000,200.0,1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2024,BS,retained_earnings,Retained Earnings,equity,170.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,3500,170.0,1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2025,IS,revenue,Revenue,revenue,1000.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,4000,1000.0,1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2025,IS,cogs,Cost of Goods Sold,cogs,-600.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,5000,600.0,-1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2025,IS,opex,Operating Expenses,operating_expenses,-150.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,6000,150.0,-1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2025,IS,depreciation_amortization,Depreciation & Amortization,depreciation_amortization,-50.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,6500,50.0,-1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2025,IS,interest_expense,Interest Expense,interest,-20.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,7000,20.0,-1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2025,IS,income_tax_expense,Income Tax Expense,tax,-45.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,8000,45.0,-1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2025,BS,cash,Cash and Cash Equivalents,current_assets,150.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,1000,150.0,1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2025,BS,accounts_receivable,Accounts Receivable,current_assets,120.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,1100,120.0,1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2025,BS,inventory,Inventory,current_assets,80.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,1200,80.0,1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2025,BS,ppe_net,"Property, Plant & Equipment, Net",noncurrent_assets,500.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,1500,500.0,1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2025,BS,accounts_payable,Accounts Payable,current_liabilities,90.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,2000,90.0,1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2025,BS,long_term_debt,Long-Term Debt,noncurrent_liabilities,300.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,2500,300.0,1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2025,BS,common_stock,Common Stock,equity,200.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,3000,200.0,1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2025,BS,retained_earnings,Retained Earnings,equity,260.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,3500,260.0,1,MAGNITUDE,L20260831-001
COMP001,ENT_PARENT,FY2025,CFS,cfs_net_income,Net Income per Cash Flow Statement,operating,135.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,9100,135.0,1,SIGNED,L20260831-001
COMP001,ENT_PARENT,FY2025,CFS,cfs_depreciation_amortization,Depreciation & Amortization Add-back,operating,50.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,9200,50.0,1,SIGNED,L20260831-001
COMP001,ENT_PARENT,FY2025,CFS,cfs_change_in_nwc,Change in Net Working Capital,operating,-20.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,9300,-20.0,1,SIGNED,L20260831-001
COMP001,ENT_PARENT,FY2025,CFS,cfs_capex,Capital Expenditures,investing,-70.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,9400,-70.0,-1,SIGNED,L20260831-001
COMP001,ENT_PARENT,FY2025,CFS,cfs_dividends_paid,Dividends Paid,financing,-45.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,9500,-45.0,-1,SIGNED,L20260831-001
COMP001,ENT_PARENT,FY2025,CFS,cfs_debt_repayment,Debt Repayments,financing,-20.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,9600,-20.0,-1,SIGNED,L20260831-001
COMP001,ENT_PARENT,FY2025,OCI,oci_fx_translation,Foreign Currency Translation Adjustment,oci,5.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,9700,5.0,1,SIGNED,L20260831-001
COMP001,ENT_PARENT,FY2025,EQUITY,re_beginning,Retained Earnings Beginning Balance,retained_earnings,170.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,9800,170.0,1,SIGNED,L20260831-001
COMP001,ENT_PARENT,FY2025,EQUITY,re_net_income,Net Income per Equity Statement,retained_earnings,135.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,9810,135.0,1,SIGNED,L20260831-001
COMP001,ENT_PARENT,FY2025,EQUITY,re_dividends,Dividends Declared,retained_earnings,-45.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,9820,-45.0,-1,SIGNED,L20260831-001
COMP001,ENT_PARENT,FY2025,EQUITY,re_ending,Retained Earnings Ending Balance,retained_earnings,260.0,USD,ACTUAL,REPORTED,,,YES,YES,NETSUITE,9830,260.0,1,SIGNED,L20260831-001
COMP001,ENT_GMBH,FY2024,IS,revenue,Revenue,revenue,294.0,USD,ACTUAL,REPORTED,,,YES,YES,DATEV,8400,294.0,1,MAGNITUDE,L20260831-001
COMP001,ENT_GMBH,FY2024,IS,cogs,Cost of Goods Sold,cogs,-178.5,USD,ACTUAL,REPORTED,,,YES,YES,DATEV,5000-DE,178.5,-1,MAGNITUDE,L20260831-001
COMP001,ENT_GMBH,FY2024,IS,opex,Operating Expenses,operating_expenses,-57.75,USD,ACTUAL,REPORTED,,,YES,YES,DATEV,6300,57.75,-1,MAGNITUDE,L20260831-001
COMP001,ENT_GMBH,FY2024,IS,depreciation_amortization,Depreciation & Amortization,depreciation_amortization,-14.7,USD,ACTUAL,REPORTED,,,YES,YES,DATEV,6220,14.7,-1,MAGNITUDE,L20260831-001
COMP001,ENT_GMBH,FY2024,IS,interest_expense,Interest Expense,interest,-6.3,USD,ACTUAL,REPORTED,,,YES,YES,DATEV,7310,6.3,-1,MAGNITUDE,L20260831-001
COMP001,ENT_GMBH,FY2024,IS,income_tax_expense,Income Tax Expense,tax,-8.4,USD,ACTUAL,REPORTED,,,YES,YES,DATEV,7645,8.4,-1,MAGNITUDE,L20260831-001
COMP001,ENT_GMBH,FY2024,BS,cash,Cash and Cash Equivalents,current_assets,32.4,USD,ACTUAL,REPORTED,,,YES,YES,DATEV,1600,32.4,1,MAGNITUDE,L20260831-001
COMP001,ENT_GMBH,FY2024,BS,accounts_receivable,Accounts Receivable,current_assets,48.6,USD,ACTUAL,REPORTED,,,YES,YES,DATEV,1400,48.6,1,MAGNITUDE,L20260831-001
